short_ref,full_ref,ref_id,study_id,context_raw,action_goals,system_orientation,local_global,experimental_manipulation,manipulation_category,positive_future,appraisal_possible,appraisal_probable,appraisal_controllable,sample_hope_min,sample_hope_max,sample_hope_m,sample_hope_sd,notes,dv_measurement,dv_min,dv_max,dv_mean,dv_sd,eff_min,eff_max,eff_mean,eff_sd,pub_type,study_design,data_type,n,age_m,female_prop,sample_type,Western,educated,industrialised,rich,individualism,looseness,tight_loose_dichotomous,uncertainty_avoidance,power_distance,year,country,gini,coc,democracy_index,regime_type,intractable_conflict,r,hope_type,dv_type,action_type,alignment,hope_n,hope_m,hope_sd,control_n,control_m,control_sd
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S2,Voting,General political engagement,System compatible,Global,,,,,,,,,,,,,,,,,,,,,published,correlational,correlational,4321,,,panel,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.021,State hope,intentions,Conventional,Aligned,,,,,,
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S3,Voting,General political engagement,System compatible,Global,,,,,,,,,,,,,,,,,,,,,published,correlational,correlational,1463,,,panel,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.163,State hope,intentions,Conventional,Aligned,,,,,,
Marlon et al. (2019),"Marlon, J. R., Bloodhart, B., Ballew, M. T., Rolfe-Redding, J., Roser-Renouf, C., Leiserowitz, A., & Maibach, E. (2019). How hope and doubt affect climate change mobilization. Frontiers in Communication, 4. https://doi.org/10.3389/fcomm.2019.00020",3,S2,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,5,3.14,0.62,,scale,1,5,2.75,0.79,,,,,published,correlational,correlational,1310,47,51.4,nationally representative panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.19,Hope for social change,intentions,Conventional,Aligned,,,,,,
Lalot et al. (2021),"Lalot, F., Abrams, D., Ahvenharju, S., & Minkkinen, M. (2021). Being future-conscious during a global crisis: The protective effect of heightened Futures Consciousness in the COVID-19 pandemic. Personality and Individual Differences, 178, 110862. https://doi.org/10.1016/j.paid.2021.110862",4,S1,General collective action as a measure of community investment in a study of COVID-19 preventative measures,General political engagement,System compatible,Global,,,,,,,1,5,2.42,0.94,Self-reported collective action was a summed score of up to 14 possible collective actions (0/1),count,0,14,1.54,1.83,,,,,published,correlational,correlational,298,54.35,44.63087248,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2021,United Kingdom,0.324,81.54,8.1,Full democracy,0,0.1,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Hornsey & Fielding (2016),"Hornsey, M. J., & Fielding, K. S. (2016). A cautionary note about messages of hope: Focusing on progress in reducing carbon emissions weakens mitigation motivation. Global Environmental Change, 39, 26–34. https://doi.org/10.1016/j.gloenvcha.2016.04.003",5,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,0,5,1.31,1,,scale,1,7,5.5,1.2,,,,,published,correlational,correlational,574,31.65,33.2,panel,,,,,,,,,,2016,Multiple,,,,,0,0.05,State hope,intentions,Consumer,Aligned,,,,,,
Hornsey & Fielding (2016),"Hornsey, M. J., & Fielding, K. S. (2016). A cautionary note about messages of hope: Focusing on progress in reducing carbon emissions weakens mitigation motivation. Global Environmental Change, 39, 26–34. https://doi.org/10.1016/j.gloenvcha.2016.04.003",5,S1,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,0,5,1.31,1,,scale,1,7,4.35,1.39,,,,,published,correlational,correlational,574,31.65,33.2,panel,,,,,,,,,,2016,Multiple,,,,,0,0.05,State hope,intentions,Conventional,Aligned,,,,,,
Hornsey & Fielding (2016),"Hornsey, M. J., & Fielding, K. S. (2016). A cautionary note about messages of hope: Focusing on progress in reducing carbon emissions weakens mitigation motivation. Global Environmental Change, 39, 26–34. https://doi.org/10.1016/j.gloenvcha.2016.04.003",5,S2,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,6,2.95,1.49,,scale,1,6,3.83,1.46,1,6,4.68,1.03,published,experimental,correlational,431,44.29,62.2,panel,1,1,1,1,60,58,Tight cultures,40,48,2016,United States,0.413,73,7.98,Flawed democracy,0,0.36,State hope,intentions,Conventional,Aligned,,,,,,
Hornsey & Fielding (2016),"Hornsey, M. J., & Fielding, K. S. (2016). A cautionary note about messages of hope: Focusing on progress in reducing carbon emissions weakens mitigation motivation. Global Environmental Change, 39, 26–34. https://doi.org/10.1016/j.gloenvcha.2016.04.003",5,S2,Climate change mitigation,Environmental protection,System challenging,Global,"Optimistic (hope) vs pessimisti vs neutral (control) messages about climate change. Desirability was manipulated by telling participants that annual carbon emissions were slowing (optimistic condition), annual carbon emissions were continuing to rise (pessimistic condition), or exposing them to a neutral message about measuring carbon emissions (control condition). Certainty/probability of positive outcome is manipulated through the optimism vignette, as the planet is definitely slowing its carbon surge and this signals a lasting trend.",Desired outcome is probable/certain vignette,1,,1,,1,6,2.95,1.49,Compared optimistic message to pessimistic message - neutral message was a statistical control and was not part of the estimate,scale,1,6,3.83,1.46,1,6,4.68,1.03,published,experimental,experimental,282,44.29,62.2,panel,1,1,1,1,60,58,Tight cultures,40,48,2016,United States,0.413,73,7.98,Flawed democracy,0,,State hope,intentions,Conventional,Aligned,137,3.61,1.34,145,3.93,1.25
Halperin & Gross (2011),"Halperin, E., & Gross, J. J. (2011). Emotion regulation in violent conflict: Reappraisal, hope, and support for humanitarian aid to the opponent in wartime. Cognition & Emotion, 25(7), 1228-1236.",6,S1,"Israeli peace/reconciliation towards Palestinians, support for humanitarian aid to Palestinians during war",Peace/reconciliation,System compatible,Local,,,,,,,1,6,3.13,1.73,,scale,1,6,4.4,1.64,,,,,published,longitudinal,correlational,201,46.5,49.75124378,nationally representative panel,1,1,1,1,56,,,13,81,2011,Israel,0.415,62.48,7.53,Flawed democracy,1,0.38,Hope for harmony,attitudinal support,Conventional,Aligned,,,,,,
Furlong & Vignoles (2021),"Furlong, C., & Vignoles, V. L. (2021). Social identification in collective climate activism: Predicting participation in the environmental movement, Extinction Rebellion. Identity, 21(1), 20–35. https://doi.org/10.1080/15283488.2020.1856664",7,S1,Climate action,Environmental protection,System challenging,Global,,,,,,,1,7,5.47,0.9,,scale,1,7,4.84,1.06,1,7,5.54,0.96,published,correlational,correlational,203,46.77,57.14285714,activist,1,1,1,1,76,89.3,Loose cultures,35,35,2021,United Kingdom,0.324,81.54,8.1,Full democracy,0,0.26,Hope for social change,intentions,Radical,Aligned,,,,,,
