short_ref,full_ref,ref_id,study_id,context_raw,action_goals,system_orientation,local_global,experimental_manipulation,manipulation_category,positive_future,appraisal_possible,appraisal_probable,appraisal_controllable,sample_hope_min,sample_hope_max,sample_hope_m,sample_hope_sd,notes,dv_measurement,dv_min,dv_max,dv_mean,dv_sd,eff_min,eff_max,eff_mean,eff_sd,pub_type,study_design,data_type,n,age_m,female_prop,sample_type,Western,educated,industrialised,rich,individualism,looseness,tight_loose_dichotomous,uncertainty_avoidance,power_distance,year,country,gini,coc,democracy_index,regime_type,intractable_conflict,r,hope_type,dv_type,action_type,alignment,hope_n,hope_m,hope_sd,control_n,control_m,control_sd
Cohen-Chen et al. (2015),"Cohen-Chen, S., Crisp, R. J., & Halperin, E. (2015). Perceptions of a changing world induce hope and promote peace in intractable conflicts. Personality and Social Psychology Bulletin, 41(4), 498–512. https://doi.org/10.1177/0146167215573210",22,S4,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,"Changing (hope) vs unchanging (control) world manipulation. Participants in the Changing World condition were asked to depict the sense that “Our world is dynamic and changing” and “Situations change over time,” while those in the Unchanging World condition were asked to depict in their drawings the sense that “Our world is stable and unchanging” and “Situations do not change over time.” ",Possibility/impossibility of change vignette,,1,,,1,6,4.13,0.98,Support for concessions,scale,1,6,3.25,1.47,,,,,published,experimental,experimental,66,26.99,41,field,1,1,1,1,56,,,13,81,2015,Israel,0.397,65.05,7.77,Flawed democracy,1,,Hope for harmony,attitudinal support,Conventional,Aligned,31,3.66,1.34,35,2.89,1.5
Cohen-Chen et al. (2015),"Cohen-Chen, S., Crisp, R. J., & Halperin, E. (2015). Perceptions of a changing world induce hope and promote peace in intractable conflicts. Personality and Social Psychology Bulletin, 41(4), 498–512. https://doi.org/10.1177/0146167215573210",22,S5,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,,,,,,,1,6,3.37,1.18,Support for concessions,scale,1,6,2.81,1.45,,,,,published,experimental,correlational,88,40.45,50,panel,1,1,1,1,56,,,13,81,2015,Israel,0.397,65.05,7.77,Flawed democracy,1,0.61,Hope for harmony,attitudinal support,Conventional,Aligned,44,3.19,1.39,44,2.45,1.45
Dono et al. (2021),"Dono, M., Alzate, M., & Sabucedo, J.-M. (2021). Predicting collective action in a secessionist context: Different motives for two opposed stances. Frontiers in Psychology, 12. https://doi.org/10.3389/fpsyg.2021.700530",23,S1,"Catalan independence, secession, separatism",Anti-authoritarian/pro-democracy,System challenging,Local,,,,,,,1,7,3.97,0.852,Pro stance,scale,1,7,5.9,1.3,,,,,published,correlational,correlational,419,33.61,65,panel,1,1,1,1,67,83.9,Loose cultures,57,86,2021,Spain,0.339,64.29,7.94,Flawed democracy,0,0.203,State hope,intentions,Conventional,Aligned,,,,,,
Dono et al. (2021),"Dono, M., Alzate, M., & Sabucedo, J.-M. (2021). Predicting collective action in a secessionist context: Different motives for two opposed stances. Frontiers in Psychology, 12. https://doi.org/10.3389/fpsyg.2021.700530",23,S2,"Catalan independence, secession, separatism",Anti-authoritarian/pro-democracy,System challenging,Local,,,,,,,1,7,2.6,1.14,Against stance,scale,1,7,3.28,1.8,,,,,published,correlational,correlational,300,33.61,65,panel,1,1,1,1,67,83.9,Loose cultures,57,86,2021,Spain,0.339,64.29,7.94,Flawed democracy,0,0.05,State hope,intentions,Conventional,Aligned,,,,,,
Feldman & Hart (2018),"Feldman, L., & Hart, P. S. (2018). Is there any hope? How climate change news imagery and text influence audience emotions and support for climate mitigation policies. Risk Analysis, 38(3), 585–602. https://doi.org/10.1111/risa.12868",24,S1,Climate action,Environmental protection,System challenging,Global,,,,,,,1,7,4.08,1.49,,scale,1,7,5.59,1.36,,,,,published,experimental,correlational,1575,45.6,49,panel,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,0.283,State hope,attitudinal support,Conventional,Aligned,,,,,,
Feldman & Hart (2018),"Feldman, L., & Hart, P. S. (2018). Is there any hope? How climate change news imagery and text influence audience emotions and support for climate mitigation policies. Risk Analysis, 38(3), 585–602. https://doi.org/10.1111/risa.12868",24,S1,Climate action,Environmental protection,System challenging,Global,Vignette about actions people can take to mitigate climate change (hope condition) vs impacts of climate change (control condition).,Controllability of outcome through action vignette,1,,,1,1,7,4.08,1.49,,scale,1,7,5.59,1.36,,,,,published,experimental,experimental,210,45.6,49,panel,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,,State hope,attitudinal support,Conventional,Aligned,105,5.43,1.28,105,5.45,1.41
Badaan et al. (2022),"Badaan, V., Akil, C., Zebian, Y., & Jost, J. T. (2022). Envisioning change: An empirical test of the social psychological model of utopian thinking and collective action. Journal of Social Psychology Research, 1(1), 77-96. ",25,S1,General utopian society and general progressive collective action,General political engagement,System challenging,Global,,,,,,,1,7,4.31,1.698,,scale,1,7,5.093,2.159,,,,,published,experimental,correlational,785,37.14,39.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2022,United States,0.417,70.62,7.85,Flawed democracy,0,0.114,State hope,intentions,Conventional,Aligned,,,,,,
Badaan et al. (2022),"Badaan, V., Akil, C., Zebian, Y., & Jost, J. T. (2022). Envisioning change: An empirical test of the social psychological model of utopian thinking and collective action. Journal of Social Psychology Research, 1(1), 77-96. ",25,S1,General utopian society and general progressive collective action,General political engagement,System challenging,Global,,,,,,,1,7,4.518,1.226,,scale,1,7,5.093,2.159,,,,,published,experimental,correlational,785,37.14,39.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2022,United States,0.417,70.62,7.85,Flawed democracy,0,0.06,Hope for social change,intentions,Conventional,Aligned,,,,,,
Legg et al. (2022),"Legg, M., Hyde, M. K., Chambers, S. K., Ng, S.-K., Scuffham, P., Stein, K., & Dunn, J. (2022). Retaining volunteers for the cause: Hope and pride associated with cause-related charity events in cancer control. Journal of Philanthropy and Marketing, 27(1), e1707. https://doi.org/10.1002/nvsm.1707",26,S1,Involvement in cancer charity fundraising events,Health,System compatible,Local,,,,,,,1,5,4.15,0.87,,scale,1,5,4.05,0.6,,,,,published,correlational,correlational,203,39.6,72,activist,1,1,1,1,73,,,51,38,2022,Australia,0.338,82.8,8.71,Full democracy,0,0.45,Hope for harmony,attitudinal support,Conventional,Aligned,,,,,,
Asun et al. (2022),"Asún, R. A., Rdz-Navarro, K., Zúñiga, C., & Louis, W. (2022). Modelling the mediating effect of multiple emotions in a cycle of territorial protests. Social Movement Studies, 21(3), 315–333. Scopus. https://doi.org/10.1080/14742837.2020.1867093",27,S1,"Local issue, protests in Aysen, Chile demanding more subsidies from the government, improvements to the infrastructure, minimum wage/welfare reforms",Socioeconomic justice,System challenging,Local,,,,,,,0,3,2.71,1.14,,count,0,16,,,,,,,published,correlational,correlational,500,48,54.6,nationally representative panel,0,1,0,1,49,86.8,Loose cultures,63,86,2022,Chile,0.432,71.94,8.22,Full democracy,0,0.254,Hope for social change,self-reported behaviour,Conventional,Aligned,,,,,,
Cohen-Chen et al. (2014),"Cohen-Chen, S., Halperin, E., Crisp, R. J., & Gross, J. J. (2014). Hope in the Middle East: Malleability beliefs, hope, and the willingness to compromise for peace. Social Psychological and Personality Science, 5(1), 67–75. https://doi.org/10.1177/1948550613484499",28,S1,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,,,,,,,1,6,3.96,1.23,,scale,1,6,3.48,1.27,,,,,published,correlational,correlational,203,33.8,63,other convenience,1,1,1,1,56,,,13,81,2014,Israel,0.398,62.98,7.63,Flawed democracy,1,0.59,Hope for harmony,attitudinal support,Conventional,Aligned,,,,,,
Cohen-Chen et al. (2014),"Cohen-Chen, S., Halperin, E., Crisp, R. J., & Gross, J. J. (2014). Hope in the Middle East: Malleability beliefs, hope, and the willingness to compromise for peace. Social Psychological and Personality Science, 5(1), 67–75. https://doi.org/10.1177/1948550613484499",28,S2,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,,,,,,,1,6,3.94,1.6,,scale,1,6,3.61,1.11,,,,,published,experimental,correlational,80,39.4,46,panel,1,1,1,1,56,,,13,81,2014,Israel,0.398,62.98,7.63,Flawed democracy,1,0.76,Hope for harmony,attitudinal support,Conventional,Aligned,,,,,,
Cohen-Chen et al. (2014),"Cohen-Chen, S., Halperin, E., Crisp, R. J., & Gross, J. J. (2014). Hope in the Middle East: Malleability beliefs, hope, and the willingness to compromise for peace. Social Psychological and Personality Science, 5(1), 67–75. https://doi.org/10.1177/1948550613484499",28,S2,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,"Incremental (hope) vs entity (control) manipulation. Participants in the incremental condition read about a breakthrough study allegedly revealing that conflicts can change and that the detrimental characteristics associated with conflicts should not be seen as a fixed state but explained by context and circumstance (“The article's findings show that the violence and hostility that accompanied most of the conflicts examined changed throughout the years … and are not a fixed characteristic of conflicts … In studies examining violent conflicts in history, we observed that they often change significantly, and that this change holds over time”). Those in the entity condition (n = 40) learned that conflicts cannot change, since their prolonged effects are enduring and unchangeable (“The article's findings show that the violence and hostility that accompanied most of the conflicts examined did not change throughout the years … and constitute a fixed characteristic of conflicts … In studies examining violent conflicts in history, we observed that they do not change significantly, and that even if a change occurs, this change does not hold over time”). ",Possibility/impossibility of change vignette,,1,,,1,6,3.94,1.6,,scale,1,6,3.61,1.11,,,,,published,experimental,experimental,80,39.4,46,panel,1,1,1,1,56,,,13,81,2014,Israel,0.398,62.98,7.63,Flawed democracy,1,,Hope for harmony,attitudinal support,Conventional,Aligned,38,3.79,1.16,40,3.19,1.31
Hasan-Aslih et al. (2020),"Hasan-Aslih, S., Shuman, E., Goldenberg, A., Pliskin, R., van Zomeren, M., & Halperin, E. (2020). The quest for hope: Disadvantaged group members can fulfill their desire to feel hope, but only when they believe in their power. Social Psychological and Personality Science, 11(7), 879–888. https://doi.org/10.1177/1948550619898321",29,S1,"Palestinian protests against Israeli occupation, disadvantaged group action",Racial/ethnic equality,System challenging,Local,,,,,,,1,6,4.795,1.445,,scale,1,6,2.945,3.34,1,6,4.315,1.355,published,longitudinal,correlational,429,33.7,50,field,0,0,0,0,,,,,,2020,Palestine,,,3.83,Authoritarian regime,1,0.255,State hope,intentions,Conventional,Aligned,,,,,,
Hasan-Aslih et al. (2020),"Hasan-Aslih, S., Shuman, E., Goldenberg, A., Pliskin, R., van Zomeren, M., & Halperin, E. (2020). The quest for hope: Disadvantaged group members can fulfill their desire to feel hope, but only when they believe in their power. Social Psychological and Personality Science, 11(7), 879–888. https://doi.org/10.1177/1948550619898321",29,S1,"Palestinian protests against Israeli occupation, disadvantaged group action",Racial/ethnic equality,System challenging,Local,,,,,,,1,6,4.02,1.625,,scale,1,6,2.945,3.34,1,6,4.315,1.355,published,longitudinal,correlational,429,33.7,50,field,0,0,0,0,,,,,,2020,Palestine,,,3.83,Authoritarian regime,1,0.275,State hope,intentions,Conventional,Aligned,,,,,,
Frank et al. (2022),"Frank, C., Dorrough, A. R., & Schneider, I. K. (2022). Ambivalence and adherence to preventive measures during the COVID-19 pandemic: Data from the US and Germany. Data in Brief, 42, 108124.",30,S1,COVID-19 preventative measures,Health,System compatible,Global,,,,,,,1,10,6.62,2.38,,scale,1,5,4.34,0.63,,,,,published,correlational,correlational,301,50.06,51.8,panel,1,1,1,1,79,82.9,Loose cultures,35,65,2022,Germany,0.337,84.74,8.8,Full democracy,0,0.236,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Frank et al. (2022),"Frank, C., Dorrough, A. R., & Schneider, I. K. (2022). Ambivalence and adherence to preventive measures during the COVID-19 pandemic: Data from the US and Germany. Data in Brief, 42, 108124.",30,S2,COVID-19 preventative measures,Health,System compatible,Global,,,,,,,1,10,5.61,2.52,,scale,1,5,4.34,0.61,,,,,published,correlational,correlational,386,50.06,51.8,panel,1,1,1,1,79,82.9,Loose cultures,35,65,2022,Germany,0.337,84.74,8.8,Full democracy,0,0.129,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Frank et al. (2022),"Frank, C., Dorrough, A. R., & Schneider, I. K. (2022). Ambivalence and adherence to preventive measures during the COVID-19 pandemic: Data from the US and Germany. Data in Brief, 42, 108124.",30,S3,COVID-19 preventative measures,Health,System compatible,Global,,,,,,,1,7,2.034816,1.303969,,scale,1,7,6.59,1.09,,,,,published,correlational,correlational,615,50.06,51.8,panel,1,1,1,1,79,82.9,Loose cultures,35,65,2022,Germany,0.337,84.74,8.8,Full democracy,0,0.015,State hope,intentions,Conventional,Aligned,,,,,,
Greenaway et al. (2022),"Greenaway, K. H., Cichocka, A., van Veelen, R., & Likki, T. Hope has benefits and costs in the intergroup context. [Unpublished Manuscript].",31,S1,"Racial equality in a colonial context, Australia, between Indigenous people (disadvantaged group) and non-Indigenous Australians (advantaged group)",Racial/ethnic equality,System challenging,Local,,,,,,,1,7,4.9,1.4,Support for social change averaged across intentions and attitudinal support,scale,1,7,4.61,1.03,1,7,4.89,1.29,unpublished,correlational,correlational,272,19.7,75,student,1,1,1,1,73,,,51,38,2022,Australia,0.338,82.8,8.71,Full democracy,0,0.06,State hope,,Conventional,Aligned,,,,,,
Greenaway et al. (2022),"Greenaway, K. H., Cichocka, A., van Veelen, R., & Likki, T. Hope has benefits and costs in the intergroup context. [Unpublished Manuscript].",31,S2,"Racial equality in a colonial context, Australia, between Indigenous people (disadvantaged group) and non-Indigenous Australians (advantaged group)",Racial/ethnic equality,System challenging,Local,,,,,,,1,7,4.63,1.05,Support for social change averaged across intentions and attitudinal support,scale,1,7,4.79,0.98,1,7,5.82,0.88,unpublished,correlational,correlational,254,,,student,1,1,1,1,73,,,51,38,2022,Australia,0.338,82.8,8.71,Full democracy,0,0.08,State hope,,Conventional,Aligned,,,,,,
"Thomas et al. (2016, unpublished)","Thomas, E., McGarty, C., & Lala, G. (2016). Messages of support: A messaging framework in support of others who have survived traumatic experiences [Unpublished].",32,S1,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,,,,,,,,,,,,,,,unpublished,correlational,correlational,93,,52.7,student,1,1,1,1,73,,,51,38,2016,Australia,0.337,84.2,9.01,Full democracy,0,0.4,State hope,intentions,Conventional,Aligned,,,,,,
Hudson (2022),"Hudson, K. (2022). Hope for the best or fear for the worst: Utopian vs dystopian outlooks as political engagement motivators. [Unpublished master dissertation]. University of Illinois, Chicago.",33,S1,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,,,,,,,1,9,6.03,15.41,,scale,1,9,4.31,15.41,,,,,unpublished,correlational,correlational,356,56.21,67.42,panel,1,1,1,1,60,58,Tight cultures,40,48,2022,United States,0.417,70.62,7.85,Flawed democracy,0,0.24,Hope for social change,intentions,Conventional,Aligned,,,,,,
Hudson (2022),"Hudson, K. (2022). Hope for the best or fear for the worst: Utopian vs dystopian outlooks as political engagement motivators. [Unpublished master dissertation]. University of Illinois, Chicago.",33,S2,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,,,,,,,1,9,6.6,17.75,,scale,1,9,4.7,17.75,,,,,unpublished,correlational,correlational,439,45.9,58.31,panel,1,1,1,1,60,58,Tight cultures,40,48,2022,United States,0.417,70.62,7.85,Flawed democracy,0,0.53,Hope for social change,intentions,Conventional,Aligned,,,,,,
Hudson (2022),"Hudson, K. (2022). Hope for the best or fear for the worst: Utopian vs dystopian outlooks as political engagement motivators. [Unpublished master dissertation]. University of Illinois, Chicago.",33,S3,"US electoral behaviour, collective action in support of their preferred presidential candidate",General political engagement,System compatible,Global,,,,,,,1,9,2.75,12.21,,scale,1,9,1.86,0.83,,,,,unpublished,correlational,correlational,526,40.39,47.91,panel,1,1,1,1,60,58,Tight cultures,40,48,2022,United States,0.417,70.62,7.85,Flawed democracy,0,0.11,Hope for social change,intentions,Conventional,Aligned,,,,,,
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S4,"Abortion debate, pro-life",Individual rights and freedoms,System supporting,Local,,,,,,,1,7,3.06,2.04,"Study 3, correlation between hope and collective action (opponents)",scale,1,7,3.71,1.74,1,7,5.49,1.47,published,experimental,correlational,701,43.45,51.1,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,0.152,State hope,intentions,Conventional,Aligned,,,,,,
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S4,"Abortion debate, pro-life",Individual rights and freedoms,System supporting,Local,"Study 3 employed a 2 (position on abortion: supporter or opponent) × 3 (valence: negative, neutral or positive) × 3 (time-referent: past, present or future) between-subjects design. Participants were instructed to take at least 3 min to think about and describe a negative or positive past, present or future regarding abortion. They were prevented from moving forward until the 3 min elapsed. The valence and time-referent manipulations were orthogonal, such that participants in each condition were asked to think about what had been done [is done/could be done] well (positive-valence condition) or poorly (negative valence condition) regarding abortion in ‘our past world’ (past condition), ‘our current world’ (present condition) or in ‘a future world’ (future condition), respectively. Participants in the neutral condition were asked to think about ‘all the things related to the issue of abortion’ in the past, present or future without prompting them to think specifically about positive or negative events.",Utopian thinking task,1,,,,1,7,4.115,2.2,"Study 3, hope condition (positive future) vs control condition (neutral future) for opponents",scale,1,7,3.82,1.805,1,7,5.475,1.555,published,experimental,experimental,163,43.45,51.1,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,,State hope,intentions,Conventional,Aligned,76,3.92,1.76,87,3.72,1.85
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S1,"Plastic polution, environmental protection",Environmental protection,System challenging,Global,,,,,,,1,7,3.96,1.97,Study 1 correlation between hope and collective action,scale,1,7,4.74,1.46,1,7,6.01,1.11,published,experimental,correlational,429,34.4,60.6,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,0.08,State hope,intentions,Conventional,Aligned,,,,,,
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S2,"Plastic polution, environmental protection",Environmental protection,System challenging,Global,,,,,,,1,7,3.74,1.95,"Study 2 correlation between hope and collective action, pooled sample",scale,1,7,4.83,1.44,1,7,6.09,1.07,published,experimental,correlational,903,34.95,56.6,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,0.07,State hope,intentions,Conventional,Aligned,,,,,,
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S2,"Plastic polution, environmental protection",Environmental protection,System challenging,Global,"Study 2 employed a 3 (valence: negative, neutral or positive) × 3 (time-referent: past, present or future) between-subjects design. Participants were instructed to take at least 3 min to think about and describe a negative or positive past, present or future regarding plastic pollution. They were prevented from moving forward until the 3 min elapsed. The valence and time-referent manipulations were orthogonal, such that participants in each condition were asked to think about what had been done [is done/could be done] well (positive-valence condition) or poorly (negative valence condition) regarding plastic pollution in ‘our past world’ (past condition), ‘our current world’ (present condition) or in ‘a future world’ (future condition), respectively. Participants in the neutral condition were asked to think about ‘all the things related to the issue of plastic pollution’ in the past, present or future without prompting them to think specifically about positive or negative events.",Utopian thinking task,1,,,,1,7,4.45,1.84,"Study 2, hope condition (positive future) vs control condition (neutral future)",scale,1,7,4.94,1.46,1,7,6.13,1.09,published,experimental,experimental,203,34.95,56.6,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,,State hope,intentions,Conventional,Aligned,102,5.02,1.5,101,4.86,1.42
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S3,"Abortion debate, pro-choice",Gender equality,System challenging,Local,,,,,,,1,7,2.92,2.02,"Study 3, correlation between hope and collective action (supporters)",scale,1,7,4.35,1.72,1,7,5.59,1.29,published,experimental,correlational,731,43.45,51.1,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,0.045,State hope,intentions,Conventional,Aligned,,,,,,
Lizzio-Wilson et al. (2025),"Lizzio-Wilson, M., Wenzel, M., Thomas, E. F., Osborne, D., & Skitka, L. J. (2025). What is, what was and what could be: Simultaneously comparing how emotional reactions to the past, present and future predict collective action. European Journal of Social Psychology. https://doi.org/10.1002/ejsp.70014",34,S3,"Abortion debate, pro-choice",Gender equality,System challenging,Local,"Study 3 employed a 2 (position on abortion: supporter or opponent) × 3 (valence: negative, neutral or positive) × 3 (time-referent: past, present or future) between-subjects design. Participants were instructed to take at least 3 min to think about and describe a negative or positive past, present or future regarding abortion. They were prevented from moving forward until the 3 min elapsed. The valence and time-referent manipulations were orthogonal, such that participants in each condition were asked to think about what had been done [is done/could be done] well (positive-valence condition) or poorly (negative valence condition) regarding abortion in ‘our past world’ (past condition), ‘our current world’ (present condition) or in ‘a future world’ (future condition), respectively. Participants in the neutral condition were asked to think about ‘all the things related to the issue of abortion’ in the past, present or future without prompting them to think specifically about positive or negative events.",Utopian thinking task,1,,,,1,7,4.035,2.05,"Study 3, hope condition (positive future) vs control condition (neutral future) for supporters",scale,1,7,4.295,1.675,1,7,5.67,1.355,published,experimental,experimental,157,43.45,51.1,panel,1,1,1,1,60,58,Tight cultures,40,48,2025,United States,0.418,,7.65,Flawed democracy,0,,State hope,intentions,Conventional,Aligned,83,4.36,1.66,74,4.23,1.69
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S1,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,4,3.14,0.425,Average of wills/ways scales,scale,1,7,4.21,1.303,1,7,6.4,0.67,unpublished,correlational,correlational,131,20,77.1,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.245,Trait hope,intentions,Conventional,Aligned,,,,,,
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S1,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,7,6.4,0.67,Collective hope,scale,1,7,4.21,1.303,1,7,6.4,0.67,unpublished,correlational,correlational,131,20,77.1,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.373,Hope for social change,intentions,Conventional,Aligned,,,,,,
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S2,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,4,3.165,0.44,Average of wills/ways scales,scale,1,7,4.48,1.28,1,7,6.3,0.96,unpublished,correlational,correlational,159,20,78.62,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.11,Trait hope,intentions,Conventional,Aligned,,,,,,
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S2,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,7,6.33,0.93,Collective hope,scale,1,7,4.48,1.28,1,7,6.3,0.96,unpublished,correlational,correlational,159,20,78.62,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.393,Hope for social change,intentions,Conventional,Aligned,,,,,,
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S3,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,4,3.185,0.445,Average of wills/ways scales,scale,1,7,4.5,1.2,1,7,6.4,0.9,unpublished,correlational,correlational,82,20.5,76.83,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.311,Trait hope,intentions,Conventional,Aligned,,,,,,
Peak (Unpublished),"Peak, R. Messages of support. [Unpublished honour thesis].",35,S3,Solidarity with Rwandan genocide survivors,Humanitarian solidarity,System compatible,Global,,,,,,,1,7,6.32,0.89,Collective hope,scale,1,7,4.5,1.2,1,7,6.4,0.9,unpublished,correlational,correlational,82,20.5,76.83,student,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.124,Hope for social change,intentions,Conventional,Aligned,,,,,,
Fernando (Unpublished),"Fernando, J. Utopian thinking. [Unpublished data].",37,S2,Personally imagined utopias and collective actions to bring them about,General political engagement,System compatible,Global,,,,,,,1,7,4.35,1.66,,scale,1,7,4.04,1.42,1,7,4.66,1.59,unpublished,correlational,correlational,211,31.55,45.5,panel,1,1,1,1,73,,,51,38,,Australia,,,,,0,0.214,State hope,intentions,Conventional,Aligned,,,,,,
Fernando (Unpublished),"Fernando, J. Utopian thinking. [Unpublished data].",37,S1,Various utopian societies and collective actions to bring them about,General political engagement,System challenging,Global,,,,,,,1,7,4.92,1.42,,scale,1,7,4.77,1.43,1,7,5.14,1.36,unpublished,correlational,correlational,171,26.01,46.87,panel,1,1,1,1,60,58,Tight cultures,40,48,,United States,,,,,0,0.232,State hope,intentions,Conventional,Aligned,,,,,,
Fernando (Unpublished),"Fernando, J. Utopian thinking. [Unpublished data].",37,S2,Personally imagined utopias and collective actions to bring them about,General political engagement,System challenging,Global,,,,,,,1,7,5,1.6,,scale,1,7,4.55,1.41,1,7,5.21,1.25,unpublished,correlational,correlational,120,26.71,50.83,panel,1,1,1,1,60,58,Tight cultures,40,48,,United States,,,,,0,0.287,State hope,intentions,Conventional,Aligned,,,,,,
Arthurson (2021),"Arthurson, A. (2021). How are system-challenging and system-supporting collective action shaped by utopian thinking? [Unpublished honour thesis]. Flinders University, Adelaide.",38,S2,Collective action in support of gun rights,Individual rights and freedoms,System supporting,Local,,,,,,,1,7,4.5767,1.53817,gun rights supporters,dichotomous,0,1,12.37623762,,1,7,5.67,0.95,unpublished,experimental,correlational,202,44.89,45.5,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,0.069,Hope for social change,behavioural measure,Conventional,Aligned,,,,,,
Arthurson (2021),"Arthurson, A. (2021). How are system-challenging and system-supporting collective action shaped by utopian thinking? [Unpublished honour thesis]. Flinders University, Adelaide.",38,S2,Collective action in support of gun rights,Individual rights and freedoms,System supporting,Local,,,,,,,1,7,4.5767,1.53817,gun rights supporters - contingency table converted to pearson r using esc package (no difference in clicks across conditions),dichotomous,0,1,12.37623762,,1,7,5.67,0.95,unpublished,experimental,correlational,202,44.89,45.5,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,0.0065,Hope for social change,behavioural measure,Conventional,Aligned,,,,,,
